Original,Furigana,English,Russian,JLPT Level
水素,すいそ,hydrogen,водород,N2
垂直,すいちょく,"vertical, perpendicular","вертикальный, перпендикулярный",N2
推定,すいてい,"presumption, assumption, estimation","презумпция, предположение, оценка",N2
水滴,すいてき,drop of water,капля воды,N2
水筒,すいとう,"canteen, flask, water bottle","фляга, фляжка, бутылка с водой",N2
随筆,ずいひつ,"essays, miscellaneous writings","очерки, разные сочинения",N2
水分,すいぶん,moisture,влага,N2
水平,すいへい,"level, horizontal","уровень, горизонтальный",N2
水平線,すいへいせん,horizon,горизонт,N2
水面,すいめん,water's surface,поверхность воды,N2
水曜,すいよう,Wednesday,Среда,N2
図々しい,ずうずうしい,"impudent, shameless","наглый, бесстыдный",N2
ずうっと,ずうっと,"all the time, all the way","все время, всю дорогу",N2
末っ子,すえっこ,youngest child,младший ребенок,N2
スカーフ,スカーフ,scarf,шарф,N2
図鑑,ずかん,picture book,книжка с картинками,N2
隙,すき,"unguarded moment, chance","неосторожный момент, шанс",N2
杉,すぎ,Japanese cedar,Японский кедр,N2
好き嫌い,すききらい,"likes and dislikes, taste","что нравится и что не нравится, вкус",N2
好き好き,すきずき,matter of taste,дело вкуса,N2
透き通る,すきとおる,to be(come) transparent,быть (стать) прозрачным,N2
隙間,すきま,"crack, gap, opening","трещина, разрыв, отверстие",N2
スクール,スクール,school,школа,N2
少なくとも,すくなくとも,at least,по меньшей мере,N2
図形,ずけい,figure,фигура,N2
鈴,すず,bell,колокол,N2
涼む,すずむ,"to cool oneself, to cool off",охладиться,N2
スタート,スタート,start,начинать,N2
スチュワーデス,スチュワーデス,stewardess,стюардесса,N2
すっきり,すっきり,"shapely, clear, neat","стройный, ясный, аккуратный",N2
ステージ,ステージ,stage; performance,этап; производительность,N2
ストッキング,ストッキング,stockings,чулки,N2
ストップ,ストップ,stop,останавливаться,N2
素直,すなお,"obedient, meek, docile","послушный, кроткий",N2
頭脳,ずのう,"head, brains, intellect","голова, мозг, интеллект",N2
スピーカー,スピーカー,speaker,оратор,N2
図表,ずひょう,"chart, diagram, graph","диаграмма, график",N2
スマート,スマート,"smart, stylish, slim","умный, стильный, тонкий",N2
住まい,すまい,"dwelling, house",жилой дом,N2
すまない,すまない,sorry (phrase),извини (фраза),N2
相撲,すもう,sumo wrestling,борьба сумо,N2
スライド,スライド,slide,слайд,N2
ずらす,ずらす,"to put off, to delay","отложить, задержать",N2
ずらり,ずらり,"in a line, in a row",в ряд,N2
スリッパ,スリッパ,slippers,тапочки,N2
する,する,to print,распечатать,N2
狡い,ずるい,"sly, cunning",хитрый,N2
寸法,すんぽう,"measurement, size, dimension","измерение, размер",N2
姓,せい,"surname, family name",фамилия,N2
税関,ぜいかん,customs,таможня,N2
製作,せいさく,"manufacture, production",производство,N2
制作,せいさく,"work (e.g., film, book)","произведение (например, фильм, книга)",N2
性質,せいしつ,"nature, property, disposition","природа, имущество, расположение",N2
清書,せいしょ,clean copy,чистая копия,N2
青少年,せいしょうねん,"youth, young person","молодежь, молодой человек",N2
整数,せいすう,integer,целое число,N2
清掃,せいそう,cleaning,уборка,N2
生存,せいぞん,"existence, being, survival","существование, бытие, выживание",N2
生長,せいちょう,growth (of a plant),рост (растения),N2
政党,せいとう,(member of) political party,(член) политической партии,N2
生年月日,せいねんがっぴ,date of birth,Дата рождения,N2
性能,せいのう,"ability, capability",способность,N2
整備,せいび,"maintenance, overhaul","техническое обслуживание, капитальный ремонт",N2
成分,せいぶん,"ingredient, component, composition","ингредиент, компонент, состав",N2
性別,せいべつ,"sex, gender",пол,N2
正方形,せいほうけい,square,квадрат,N2
正門,せいもん,"main gate, main entrance","главные ворота, главный вход",N2
成立,せいりつ,"formation, establishment, completion","формирование, установление, завершение",N2
西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)","Христианская эра, после смерти (Христа) (н.э.)",N2
背負う,せおう,to be burdened with; to carry on (one's) back or shoulder(s),быть обремененным; носить на спине или плечах,N2
赤道,せきどう,equator,экватор,N2
折角,せっかく,"with trouble, at great pains, long-awaited","с бедой, с большими болями, долгожданный",N2
接近,せっきん,"getting closer, drawing nearer, approaching",приближаться,N2
接する,せっする,to attend to (someone); to associate with,уделить внимание (кому-либо); общаться с,N2
せっせと,せっせと,"busily, away","деловито, далеко",N2
接続,せつぞく,"connection, union, join, link; changing trains","соединение, союз, присоединение, ссылка; пересадка на поезд",N2
瀬戸物,せともの,"earthenware, crockery, china","фаянс, посуда, фарфор",N2
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),во что бы то ни стало (со смыслом не принимать «нет» в качестве ответа),N2
迫る,せまる,"to draw near, to press","приближаться, нажимать",N2
ゼミ,ゼミ,seminar,семинар,N2
せめて,せめて,at least,по меньшей мере,N2
攻める,せめる,"to attack, to assault, to assail","атаковать, нападать",N2
セメント,セメント,cement,цемент,N2
台詞,せりふ,"speech, words, one's lines, remarks","речь, слова, свои строки, замечания",N2
栓,せん,"stopper, cork, stopcock","пробка, кран",N2
前～,ぜん～,"former, late ~, past ~","бывший, поздний ~, прошлый ~",N2
前後,ぜんご,"front and back, before and after","спереди и сзади, до и после",N2
洗剤,せんざい,"detergent, cleanser, cleaning agent, washing material","моющее средство, чистящее средство, моющий материал",N2
全集,ぜんしゅう,complete works,Полное собрание сочинений,N2
全身,ぜんしん,"whole (body), full-length (e.g., portrait) systemic","весь (тело), ​​в полный рост (например, портрет) системный",N2
扇子,せんす,folding fan,складной веер,N2
専制,せんせい,"despotism, autocracy","деспотизм, автократия",N2
先々月,せんせんげつ,month before last,позапрошлый месяц,N2
先々週,せんせんしゅう,2 weeks before,2 недели назад,N2
先祖,せんぞ,ancestor,предок,N2
先端,せんたん,"pointed end, tip","заостренный конец, кончик",N2
センチ,センチ,centimeter,сантиметр,N2
宣伝,せんでん,"publicity, advertisement, advertising, propaganda","реклама, пропаганда",N2
先頭,せんとう,"head, lead, vanguard","руководитель, лидер, авангард",N2
全般,ぜんぱん,"(the) whole, general","(весь) весь, общий",N2
扇風機,せんぷうき,electric fan,электрический вентилятор,N2
洗面,せんめん,"wash up (one's face), have a wash","умыться (лицо), умыться",N2
全力,ぜんりょく,"all one's power, whole energy","вся сила, вся энергия",N2
線路,せんろ,"line, track, roadbed","линия, трасса, дорожное полотно",N2
総～,そう～,"gross, general, entire","грубый, общий, весь",N2
相違,そうい,"difference, discrepancy, variation","разница, несоответствие, вариация",N2
そういえば,そういえば,which reminds me ..,что мне напоминает..,N2
雑巾,ぞうきん,"house-cloth, dust cloth",тряпка,N2
増減,ぞうげん,"increase and decrease, fluctuation","увеличение и уменьшение, колебание",N2
倉庫,そうこ,"storehouse, warehouse",склад,N2
相互,そうご,"mutual, reciprocal",взаимный,N2
創作,そうさく,"production, creation, work","производство, творчество, работа",N2
葬式,そうしき,funeral,похороны,N2
造船,ぞうせん,shipbuilding,судостроение,N2
騒々しい,そうぞうしい,"noisy, boisterous",шумный,N2
増大,ぞうだい,"increase, growth","увеличение, рост",N2
そうっと,そうっと,"softly, cautiously, gently","мягко, осторожно, нежно",N2
送別,そうべつ,"farewell, send-off","прощай, проводы",N2
草履,ぞうり,Japanese sandals (footwear),Японские сандалии (обувь),N2
総理大臣,そうりだいじん,Prime Minister,премьер-министр,N2
送料,そうりょう,"postage, carriage","почтовые расходы, перевозка",N2
属する,ぞくする,"to belong to, to come under","принадлежать, подпадать под",N2
続々,ぞくぞく,"successively, one after another","последовательно, один за другим",N2
速達,そくたつ,"express, special delivery","экспресс, специальная доставка",N2
測定,そくてい,measurement,измерение,N2
測量,そくりょう,"measurement, surveying","измерение, геодезия",N2
速力,そくりょく,speed,скорость,N2
素質,そしつ,"talent, capability","талант, способности",N2
祖先,そせん,ancestor(s),предки),N2
そそっかしい,そそっかしい,"careless, thoughtless","неосторожный, необдуманный",N2
卒直,そっちょく,"frank, candid, honest","откровенный, искренний, честный",N2
率直,そっちょく,"frank, candid, straightforward, openhearted, direct, outspoken","откровенный, искренний, прямой",N2
そのころ,そのころ,"in those days, at that time, then","в те дни, в то время, тогда",N2
そのため,そのため,"hence, for that reason","следовательно, по этой причине",N2
その他,そのほか,besides,кроме,N2
そば,そば,soba (buckwheat noodles),соба (гречневая лапша),N2
剃る,そる,to shave,брить,N2
それなのに,それなのに,"though, although",хотя,N2
それなら,それなら,"If that's the case..., If so..., That being the case...","Если это так..., Если так..., В таком случае...",N2
それはいけませんね (かん),それはいけませんね (かん),that's not good,это не хорошо,N2
逸れる,それる,"to stray (turn) from subject, to go astray","отклоняться (поворачивать) от предмета, сбиваться с пути",N2
揃える,そろえる,"to collect, to gather, to get together, to complete (a collection) to arrange, to put in order, to prepare, to get ready to make uniform, to make even, to match","собирать, завершать (сборник) упорядочивать, приводить в порядок, готовиться, приводить в единообразный вид, уравнивать, согласовывать",N2
算盤,そろばん,abacus,счеты,N2
存じる,ぞんじる,(humble) to know,(скромно) знать,N2
存ずる,ぞんずる,(humble) to know,(скромно) знать,N2
損得,そんとく,"loss and gain, advantage and disadvantage","потеря и приобретение, преимущество и недостаток",N2
第～,だい～,~th,~th,N2
タイア,タイア,"tire, tyre",шина,N2
だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1","в первую очередь, &nbsp;&nbsp;#1",N2
大学院,だいがくいん,graduate school,Высшая школа,N2
大工,だいく,carpenter,плотник,N2
体系,たいけい,"system, organization","система, организация",N2
太鼓,たいこ,"drum, tambourine","барабан, бубен",N2
対策,たいさく,"counter-plan, counter-measure","контрплан, контрмера",N2
大して,たいして,"(not so) much, (not) very","(не) много, (не) очень",N2
対照,たいしょう,"contrast, antithesis, comparison","контраст, антитеза, сравнение",N2
大小,だいしょう,size,размер,N2
体制,たいせい,"order, system, structure","порядок, система, структура",N2
体積,たいせき,"capacity, volume","мощность, объем",N2
大層,たいそう,"very much, greatly","очень, сильно",N2
体操,たいそう,"gymnastics, physical exercises, calisthenics","гимнастика, физические упражнения, художественная гимнастика",N2
大分,だいぶん,"considerably, greatly, a lot","значительно, много",N2
大木,たいぼく,large tree,большое дерево,N2
題名,だいめい,"title, caption, heading","заголовок, подпись",N2
代名詞,だいめいし,pronoun,местоимение,N2
ダイヤグラム,ダイヤグラム,diagram,диаграмма,N2
ダイヤモンド,ダイヤモンド,diamond,алмаз,N2
ダイヤル,ダイヤル,dial,набирать номер,N2
対立,たいりつ,"confrontation, opposition, antagonism","противостояние, антагонизм",N2
田植え,たうえ,rice planting,посадка риса,N2
絶えず,たえず,constantly,постоянно,N2
楕円,だえん,ellipse,эллипс,N2
高める,たかめる,"to raise, to lift, to boost, to enhance","поднять, усилить",N2
耕す,たがやす,"to till, to plow, to cultivate","пахать, возделывать",N2
滝,たき,waterfall,водопад,N2
蓄える,たくわえる,"to save, to store, to lay in stock","сохранять, хранить, хранить в запасе",N2
竹,たけ,bamboo,бамбук,N2
ただいま,ただいま,"Here I am, I'm home!","Вот я, я дома!",N2
但し,ただし,"but, however, provided that","но, однако, при условии, что",N2
畳む,たたむ,"to fold (e.g., clothes, umbrella)","складывать (например, одежду, зонтик)",N2
立ち止まる,たちどまる,"to stop, to halt, to stand still","остановиться, стоять на месте",N2
たちまち,たちまち,"instantly, suddenly, all at once","мгновенно, внезапно, сразу",N2
建つ,たつ,"to be erected, to be built","быть воздвигнутым, быть построенным",N2
脱線,だっせん,"derailment, digression","сход с рельсов, отступление",N2
妥当,だとう,"proper, appropriate","надлежащий, подходящий",N2
例える,たとえる,"to compare, to liken","сравнивать, уподоблять",N2
頼もしい,たのもしい,"reliable, promising","надежный, перспективный",N2
足袋,たび,"tabi, Japanese socks (with split toe)","таби, японские носки (с раздвоенным носком)",N2
ダブル,ダブル,double,двойной,N2
ダム,ダム,dam,плотина,N2
溜息,ためいき,a sigh,вздох,N2
ためらう,ためらう,to be hesitant,колебаться,N2
だらしない,だらしない,"slovenly, loose, a slut","неряшливый, распутный, шлюха",N2
足る,たる,"to be sufficient, to be enough",быть достаточным,N2
短～,たん～,short ~,короткий ~,N2
段階,だんかい,"gradation, grade, stage","градация, сорт, стадия",N2
短期,たんき,short term,короткий срок,N2
炭鉱,たんこう,"coal mine, coal pit","угольная шахта, угольная яма",N2
短所,たんしょ,"defect, weak point; disadvantage","дефект, слабое место; недостаток",N2
たんす,たんす,chest of drawers,комод,N2
淡水,たんすい,fresh water,пресная вода,N2
断水,だんすい,water outage,отключение воды,N2
単数,たんすう,singular (number),единственное число (число),N2
団地,だんち,housing complex,жилой комплекс,N2
断定,だんてい,"conclusion, decision","вывод, решение",N2
短編,たんぺん,"short (e.g., story, film)","короткометражный (например, рассказ, фильм)",N2
田ぼ,たんぼ,"paddy field, farm","рисовое поле, ферма",N2
誓う,ちかう,"to swear, to vow",поклясться,N2
地下水,ちかすい,underground water,подземные воды,N2
近々,ちかぢか,"soon, before long","скоро, вскоре",N2
近付ける,ちかづける,"to bring near, to put close, to let come near","приблизить, подпустить",N2
近寄る,ちかよる,"to approach, to draw near",приближаться,N2
力強い,ちからづよい,"powerful, strong, vigorous","мощный, сильный, энергичный",N2
ちぎる,ちぎる,"to cut up fine, to pick (fruit)","мелко резать, собирать (фрукты)",N2
地質,ちしつ,geological features,геологические особенности,N2
知人,ちじん,"friend, acquaintance","друг, знакомый",N2
地帯,ちたい,"area, zone","площадь, зона",N2
縮む,ちぢむ,"to shrink, to be contracted",сжиматься,N2
縮める,ちぢめる,"to shorten, to reduce, to shrink","сокращать, уменьшать",N2
縮れる,ちぢれる,"to be wavy, to be curled","быть волнистым, завиваться",N2
チップ,チップ,"gratuity, tip; chip","чаевые, чаевые; чип",N2
地点,ちてん,"site, point on a map","сайт, точка на карте",N2
地名,ちめい,place name,название места,N2
茶色い,ちゃいろい,brown,коричневый,N2
着々,ちゃくちゃく,steadily,стабильно,N2
中間,ちゅうかん,"middle, midway, interim","средний, промежуточный",N2
中旬,ちゅうじゅん,second third of a month,вторая треть месяца,N2
抽象,ちゅうしょう,abstract,абстрактный,N2
中世,ちゅうせい,"Middle Ages, medieval times",Средневековье,N2
中性,ちゅうせい,"neuter gender, neutral","средний род, нейтральный",N2
中途,ちゅうと,"in the middle, half-way","посередине, на полпути",N2
中年,ちゅうねん,middle-aged,среднего возраста,N2
チョーク,チョーク,chalk,мел,N2
長～,ちょう～,long ~,долго ~,N2
超過,ちょうか,"excess, being more than","избыток, превышающий",N2
彫刻,ちょうこく,"carving, engraving, sculpture","резьба, гравюра, скульптура",N2
長所,ちょうしょ,"strong point, merit; advantage","сильная сторона, достоинство; преимущество",N2
長女,ちょうじょ,eldest daughter,старшая дочь,N2
調整,ちょうせい,"regulation, adjustment, tuning","регулирование, регулировка, настройка",N2
調節,ちょうせつ,"regulation, adjustment, control","регулирование, регулировка, контроль",N2
長短,ちょうたん,"length, long and short, +-","длина, длинная и короткая, +-",N2
頂点,ちょうてん,"top, summit",вершина,N2
長男,ちょうなん,eldest son,старший сын,N2
長方形,ちょうほうけい,"rectangle, oblong","прямоугольник, продолговатый",N2
調味料,ちょうみりょう,"condiment, seasoning",приправа,N2
直後,ちょくご,immediately following,сразу после,N2
直線,ちょくせん,straight line,прямая линия,N2
直前,ちょくぜん,just before,незадолго до этого,N2
直通,ちょくつう,direct connection,прямое соединение,N2
直流,ちょくりゅう,direct current,постоянный ток,N2
貯蔵,ちょぞう,"storage, preservation","хранение, сохранение",N2
直角,ちょっかく,right angle,прямой угол,N2
直径,ちょっけい,diameter,диаметр,N2
散らかす,ちらかす,"to scatter around, to leave untidy","разбросать, оставить неопрятным",N2
散らかる,ちらかる,to be in disorder,быть в беспорядке,N2
塵紙,ちりがみ,"tissue paper, toilet paper","папиросная бумага, туалетная бумага",N2
追加,ついか,"addition, supplement, appendix","дополнение, приложение",N2
ついで,ついで,"opportunity, occasion","возможность, повод",N2
つうか,つうか,currency,валюта,N2
通勤,つうきん,commuting to work,поездка на работу,N2
通ずる,つうずる,"to lead, to run, to open","вести, бежать, открывать",N2
通知,つうち,"notice, notification",уведомление,N2
通帳,つうちょう,bankbook,банковская книжка,N2
通訳,つうやく,"interpretation (i.e., oral translation) interpreter",устный перевод (т. е. устный перевод) переводчик,N2
通用,つうよう,"popular use, circulation","популярное использование, распространение",N2
通路,つうろ,"passage, pathway","проход, путь",N2
突き当たり,つきあたり,"end (e.g., of street)","конец (например, улицы)",N2
突き当たる,つきあたる,"to run into, to collide with","столкнуться, столкнуться с",N2
月日,つきひ,"time, years, days","время, годы, дни",N2
次ぐ,つぐ,"to follow, to come after, to come next (to)","следовать, идти следом (за чем-л.)",N2
伝わる,つたわる,"to spread (of a rumor, news, etc.), to travel, to circulate, to go around, to be passed around, to become known","распространяться (о слухах, новостях и т. д.), путешествовать, распространяться, становиться известным",N2
突っ込む,つっこむ,"to plunge into, to stick into","погружаться, втыкаться",N2
務める,つとめる,"to serve, to act","служить, действовать",N2
努める,つとめる,"to try, to aim","пытаться, стремиться",N2
綱,つな,rope,веревка,N2
繋がり,つながり,"connection, link, relationship","связь, отношения",N2
繋がる,つながる,"to be tied together, to be connected to, to be linked to","быть связанным, быть связанным с",N2
粒,つぶ,grain,зерно,N2
潰す,つぶす,"to smash, to waste","разбить, потратить впустую",N2
潰れる,つぶれる,"to be smashed, to go bankrupt","разориться, обанкротиться",N2
つまずく,つまずく,"to stumble, to trip",споткнуться,N2
躓く,つまずく,"to trip (over), to stumble","споткнуться (споткнуться), споткнуться",N2
詰まる,つまる,"to be blocked, to be packed","быть заблокированным, упакованным",N2
積む,つむ,"to pile up, to stack",складывать,N2
爪,つめ,fingernail or toenail,ноготь на руке или на ноге,N2
艶,つや,"gloss, glaze","блеск, глазурь",N2
強気,つよき,"firm, strong","твердый, сильный",N2
釣り合う,つりあう,"to balance, to be in harmony, to suit","балансировать, быть в гармонии, соответствовать",N2
吊る,つる,to hang,повесить,N2
吊す,つるす,to hang,повесить,N2
テーマ,テーマ,"theme, project, topic (GER: Thema)","тема, проект, тема (нем. Thema)",N2
手洗い,てあらい,"restroom, lavatory","туалет, уборная",N2
低～,てい～,low ~,низкий ~,N2
定員,ていいん,"fixed number of regular personnel, capacity (e.g., of boat)","фиксированное количество штатного персонала, вместимость (например, лодок)",N2
定価,ていか,established price,установленная цена,N2
低下,ていか,"fall, decline","падение, упадок",N2
定期券,ていきけん,"commuter pass, season ticket","проездной, абонемент",N2
定休日,ていきゅうび,regular holiday,регулярный отпуск,N2
停止,ていし,"suspension, interruption, stoppage","приостановка, перерыв, остановка",N2
停車,ていしゃ,"stopping (e.g., train)","остановка (например, поезда)",N2
停電,ていでん,"power outage, electricity outage, blackout","отключение электроэнергии, отключение электричества",N2
出入り,でいり,"in and out, coming and going","вход и выход, приход и уход",N2
出入口,でいりぐち,exit and entrance,выход и вход,N2
出入り口,でいりぐち,exit and entrance,выход и вход,N2
手入れ,ていれ,"repairs, maintenance","ремонт, обслуживание",N2
出来上がり,できあがり,"be finished, ready","быть законченным, готовым",N2
出来上がる,できあがる,"to be finished, to be ready","быть законченным, быть готовым",N2
的確,てきかく,"precise, accurate",точный,N2
適確,てきかく,"precise, accurate",точный,N2
手首,てくび,wrist,запястье,N2
凸凹,でこぼこ,"unevenness, roughness, ruggedness",неровности,N2
手頃,てごろ,"moderate, handy","умеренный, удобный",N2
手ごろ,てごろ,"handy, convenient suitable, reasoanble, moderate","удобный, разумный, умеренный",N2
弟子,でし,"pupil, disciple, apprentice","ученик, подмастерье",N2
でたらめ,でたらめ,"irresponsible utterance, nonsense; random","безответственное высказывание, бессмыслица; случайный",N2
手帳,てちょう,notebook,блокнот,N2
鉄橋,てっきょう,iron bridge,железный мост,N2
手続き,てつづき,"procedure, (legal) process, formalities","процедура, (юридический) процесс, формальности",N2
鉄砲,てっぽう,gun,пистолет,N2
テニスコート,テニスコート,tennis court,теннисный корт,N2
手拭い,てぬぐい,(hand) towel,(ручное) полотенце,N2
手前,てまえ,"before, this side","раньше, эта сторона",N2
出迎え,でむかえ,"meeting, reception","встреча, прием",N2
出迎える,でむかえる,"to meet, to greet","встретиться, поприветствовать",N2
照らす,てらす,"to shine on, to illuminate","сиять, освещать",N2
照る,てる,to shine,сиять,N2
展開,てんかい,"develop, expansion (opposite of compression)","развитие, расширение (противоположное сжатию)",N2
伝記,でんき,"biography, life story","биография, история жизни",N2
電球,でんきゅう,light bulb,лампочка,N2
点数,てんすう,"marks, points, score","оценки, баллы, оценка",N2
伝染,でんせん,contagion,заражение,N2
電池,でんち,battery,батарея,N2
電柱,でんちゅう,"telephone pole, telegraph pole, light pole","телефонный столб, телеграфный столб, фонарный столб",N2
点々,てんてん,"here and there, little by little","здесь и там, понемногу",N2
転々,てんてん,from one to another,от одного к другому,N2
天皇,てんのう,Emperor of Japan,Император Японии,N2
電波,でんぱ,electro-magnetic wave,электромагнитная волна,N2
テンポ,テンポ,tempo,темп,N2
電流,でんりゅう,electric current,электрический ток,N2
電力,でんりょく,electric power,электроэнергия,N2
問い合わせ,といあわせ,inquiry,расследование,N2
銅,どう,copper,медь,N2
同～,どう～,same ~,то же самое ~,N2
どういたしまして (かん),どういたしまして (かん),"you are welcome, don't mention it","пожалуйста, не упоминай об этом",N2
統一,とういつ,"unity, consolidation, uniformity","единство, консолидация, единообразие",N2
同格,どうかく,"the same rank, equality, apposition","тот же ранг, равенство, приложение",N2
峠,とうげ,"ridge, (mountain) pass, difficult part","хребет, (горный) перевал, трудная часть",N2
統計,とうけい,"scattering, a scatter, dispersion","рассеяние, разброс, рассеивание",N2
動作,どうさ,"action, movements, motions","действие, движения",N2
東西,とうざい,"East and West, whole country","Восток и Запад, вся страна",N2
当日,とうじつ,"appointed day, very day","назначенный день, тот самый день",N2
投書,とうしょ,"letter to the editor, letter from a reader, contribution","письмо в редакцию, письмо читателя, вклад",N2
登場,とうじょう,entry (on stage),выход (на сцену),N2
どうせ,どうせ,"anyhow, in any case, at any rate","так или иначе, во всяком случае",N2
灯台,とうだい,lighthouse,маяк,N2
盗難,とうなん,"theft, robbery","воровство, грабеж",N2
当番,とうばん,being on duty,находясь на дежурстве,N2
等分,とうぶん,division into equal parts,разделение на равные части,N2
透明,とうめい,"transparency, cleanness","прозрачность, чистота",N2
灯油,とうゆ,"lamp oil, kerosene","ламповое масло, керосин",N2
東洋,とうよう,"the East, the Orient",Восток,N2
童話,どうわ,fairy tale,сказка,N2
通り掛かる,とおりかかる,to happen to pass by,случайно пройти мимо,N2
溶かす,とかす,"to melt, to dissolve","таять, растворяться",N2
尖る,とがる,"to taper to a point, to become sharp","сузиться до точки, стать острым",N2
どきどき,どきどき,"throb, beat (fast)","пульсировать, биться (быстро)",N2
特殊,とくしゅ,"special, unique","особенный, уникальный",N2
特色,とくしょく,"characteristic, feature","характеристика, особенность",N2
特定,とくてい,"specific, special, particular","конкретный, особенный",N2
特売,とくばい,special sale,специальная распродажа,N2
溶け込む,とけこむ,to melt into; to become a part of,раствориться; стать частью,N2
溶ける,とける,"(intransitive) to melt, to thaw, to fuse, to dissolve","(непереходный) плавиться, таять, сплавляться, растворяться",N2
退ける,どける,"to dislodge, to put something out of the way","выбить, убрать что-то с дороги",N2
床の間,とこのま,alcove,ниша,N2
所々,ところどころ,"here and there, some parts (of something)","тут и там, какие-то части (чего-то)",N2
都心,としん,heart (of city),сердце (города),N2
戸棚,とだな,"cupboard, cabinet","шкаф, кабинет",N2
とっくに,とっくに,"long ago, already, a long time ago","давно, уже, давным-давно",N2
どっと,どっと,suddenly,внезапно,N2
整う,ととのう,"to be prepared, to be in order, to be arranged","быть готовым, быть в порядке, быть устроенным",N2
留まる,とどまる,"to be fixed; to abide, to stay (in the one place)","быть исправленным; пребывать, оставаться (в одном месте)",N2
怒鳴る,どなる,"to shout, to yell",кричать,N2
殿,どの,Mister (mostly in addressing someone on an envelope),Мистер (в основном при обращении к кому-то на конверте),N2
飛び込む,とびこむ,"to jump in, to leap in, to plunge into","вскочить, погрузиться",N2
留まる,とまる,"to be fixed; to abide, to stay (in the one place)","быть исправленным; пребывать, оставаться (в одном месте)",N2
泊める,とめる,"to give shelter to, to lodge",приютить,N2
ともかく,ともかく,"anyhow, at any rate, anyway","так или иначе, во всяком случае",N2
捕える,とらえる,"to seize, to capture, to arrest","схватить, арестовать",N2
取り入れる,とりいれる,"to harvest, to take in, to adopt","собирать урожай, принимать, усыновлять",N2
取り消す,とりけす,to cancel,отменить,N2
取り出す,とりだす,"to take out, to pick out","вынимать, выбирать",N2
採る,とる,"to adopt (measure, proposal); to pick (fruit)","принять (меру, предложение); собирать (фрукты)",N2
捕る,とる,"to take, to catch (fish)","брать, ловить (рыбу)",N2
丼,どんぶり,"porcelain bowl, bowl of rice with food on top","фарфоровая миска, миска с рисом и едой сверху",N2
内科,ないか,"internist clinic, internal medicine","терапевтическая клиника, внутренняя медицина",N2
内線,ないせん,phone extension,расширение телефона,N2
ナイロン,ナイロン,nylon,нейлон,N2
長～,なが～,long ~,долго ~,N2
仲直り,なかなおり,"reconciliation, make peace with","примириться, помириться с",N2
長引く,ながびく,"to be prolonged, to drag on",затягиваться,N2
中身,なかみ,"contents, interior, filling substance, content","содержимое, интерьер, наполнитель, содержание",N2
中指,なかゆび,middle finger,средний палец,N2
仲良し,なかよし,"intimate friend, bosom buddy","близкий друг, закадычный приятель",N2
慰める,なぐさめる,"to comfort, to console",утешать,N2
殴る,なぐる,"to strike, to hit, to beat, to punch",ударить,N2
為す,なす,"to accomplish, to do","совершить, сделать",N2
謎謎,なぞなぞ,riddle,загадка,N2
傾らか,なだらか,"gradual, gentle","постепенный, нежный",N2
懐かしい,なつかしい,"dear, desired, missed","дорогой, желанный, скучающий",N2
撫でる,なでる,"to brush gently, to stroke","нежно расчесывать, гладить",N2
斜め,ななめ,"diagonal, oblique","диагональный, наклонный",N2
なにしろ,なにしろ,"at any rate, in any case","во всяком случае, в любом случае",N2
何しろ,なにしろ,"in any case, at any rate, anyhow, anyway, as you know, for you see, particularly","во всяком случае, как бы то ни было, как вы знаете, ведь вы видите, особенно",N2
何々,なになに,"such and such, What?","такой-то, Что?",N2
何分,なにぶん,"by all means, please","во что бы то ни стало, пожалуйста",N2
生意気,なまいき,"impertinent, impudent","дерзкий, нахальный",N2
生意気な,なまいきな,"impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash",дерзкий,N2
並木,なみき,"roadside tree, row of trees","придорожное дерево, ряд деревьев",N2
倣う,ならう,"to imitate, to follow, to emulate","подражать, следовать",N2
生る,なる,to bear fruit,приносить плоды,N2
南極,なんきょく,"south pole, Antarctic","Южный полюс, Антарктика",N2
なんとなく,なんとなく,"somehow or other, for some reason or another","так или иначе, по тем или иным причинам",N2
なんとも,なんとも,"nothing (with neg. verb), quite, not a bit","ничего (с отр. глаголом), совсем, ни капельки",N2
何とも,なんとも,"really, very, extremely, terribly, awfully (not) anything, (not) at all, (not) a bit","действительно, очень, чрезвычайно, ужасно, ужасно (ни) ничего, (ни) совсем, (ни) немного",N2
ナンバー,ナンバー,number,число,N2
南米,なんべい,South America,Южная Америка,N2
南北,なんぼく,south and north,юг и север,N2
匂う,におう,"to be fragrant, to smell","благоухать, пахнуть",N2
逃がす,にがす,"to let loose, to set free, to let escape","выпустить на волю, освободить, дать волю",N2
憎い,にくい,"hateful, abominable, detestable","ненавистный, отвратительный",N2
憎む,にくむ,"to hate, to detest",ненавидеть,N2
憎らしい,にくらしい,"odious, hateful","одиозный, ненавистный",N2
にこにこ,にこにこ,"smile sweetly, smiley","улыбайся мило, смайлик",N2
濁る,にごる,"to become muddy, to get cloudy","стать мутным, помутнеть",N2
虹,にじ,rainbow,радуга,N2
日時,にちじ,date and time,дата и время,N2
日用品,にちようひん,daily necessities,предметы первой необходимости,N2
日課,にっか,"daily work, daily routine","повседневная работа, распорядок дня",N2
